n,nominal,A,C,Z
-20,10,-70.4,-14.3,0
-19,12.5,-63.4,-11.2,0
-18,16,-56.7,-8.5,0
-17,20,-50.5,-6.2,0
-16,25,-44.7,-4.4,0
-15,31.5,-39.4,-3,0
-14,40,-34.6,-2,0
-13,50,-30.2,-1.3,0
-12,63,-26.2,-0.8,0
-11,80,-22.5,-0.5,0
-10,100,-19.1,-0.3,0
-9,125,-16.1,-0.2,0
-8,160,-13.4,-0.1,0
-7,200,-10.9,0,0
-6,250,-8.6,0,0
-5,315,-6.6,0,0
-4,400,-4.8,0,0
-3,500,-3.2,0,0
-2,630,-1.9,0,0
-1,800,-0.8,0,0
0,1000,0,0,0
1,1250,0.6,0,0
2,1600,1,-0.1,0
3,2000,1.2,-0.2,0
4,2500,1.3,-0.3,0
5,3150,1.2,-0.5,0
6,4000,1,-0.8,0
7,5000,0.5,-1.3,0
8,6300,-0.1,-2,0
9,8000,-1.1,-3,0
10,10000,-2.5,-4.4,0
11,12500,-4.3,-6.2,0
12,16000,-6.6,-8.5,0
13,20000,-9.3,-11.2,0
