"Date";"Time";"6.3Hz";"8Hz";"10Hz";"12.5Hz";"16Hz";"20Hz";"25Hz";"31.5Hz";"40Hz";"50Hz";"63Hz";"80Hz";"100Hz";"125Hz";"160Hz";"200Hz";"250Hz";"315Hz";"400Hz";"500Hz";"630Hz";"800Hz";"1kHz";"1.25kHz";"1.6kHz";"2kHz";"2.5kHz";"3.15kHz";"4kHz";"5kHz";"6.3kHz";"8kHz";"10kHz";"12.5kHz";"16kHz";"20kHz"
"19-08-2014";"01:32:14";"53,5";"44";"42,4";"39,3";"42";"31,8";"29,1";"24,9";"23,6";"21,7";"22,7";"24";"24,5";"21,3";"23,1";"24,2";"28,5";"32,9";"36,4";"30,1";"22";"28,1";"25,5";"20,6";"20,1";"17,4";"15,1";"14,5";"13,6";"16,5";"15,6";"14";"14,1";"15,5";"17,6";"20,9"
"19-08-2014";"01:32:15";"44,5";"34,1";"36,4";"36,3";"47,2";"30,3";"22,5";"20";"19,6";"20,8";"17,3";"18,5";"22,9";"20,2";"20,9";"20,6";"27,6";"30,8";"35,3";"29,2";"20,4";"27,3";"24,8";"19,5";"20";"18,6";"17,1";"14,9";"12,6";"14,2";"14,3";"13,7";"13,8";"15,4";"17,5";"20,9"
"19-08-2014";"01:32:16";"29,4";"38,3";"35,7";"34,4";"41,5";"30,7";"25,5";"20,2";"18,8";"20,5";"17";"18,8";"23,4";"20,4";"21";"21,7";"26,1";"31,6";"32,9";"26,9";"25,1";"29";"25,6";"21,6";"20,4";"19,2";"16,8";"15,2";"13";"14,9";"14,1";"13,2";"13,7";"15,2";"17,6";"20,9"
"19-08-2014";"01:32:17";"27,8";"36,3";"28,5";"31,9";"38,4";"31,9";"27,1";"20,4";"18,4";"21,6";"15,7";"17,4";"22,2";"20,7";"20,9";"20,2";"27,2";"31";"33,9";"25";"18,8";"27,5";"25,2";"20,1";"20";"17,7";"15,8";"14,5";"13";"15,2";"13,8";"13,4";"13,8";"15,4";"17,6";"20,8"
"19-08-2014";"01:32:18";"34,4";"32,6";"37,8";"37,1";"41,5";"31,4";"26,3";"22,7";"24,3";"22,6";"16,1";"18";"23,8";"18,8";"20,9";"23";"21,9";"31,2";"34";"29,1";"23,2";"28,2";"26,2";"19,7";"20,3";"20,2";"16,5";"15,4";"14,3";"16,3";"16,4";"15,4";"13,9";"15,4";"17,5";"20,9"
"19-08-2014";"01:32:19";"31,9";"34,3";"38,8";"36,5";"38,2";"27,2";"22,8";"18,7";"19,7";"21";"18,6";"17,1";"23,7";"20,6";"22,1";"20";"25,9";"36,6";"30,2";"27,1";"21";"28,7";"24,9";"19,3";"20,6";"17,9";"17";"15,1";"13,1";"16,1";"15,3";"13,2";"13,6";"15,4";"17,6";"20,9"
"19-08-2014";"01:32:20";"36,7";"34,9";"37,8";"39,5";"38,4";"29,1";"26,1";"19,3";"20,2";"20,3";"17,6";"19,2";"23,4";"22,4";"25,1";"21,5";"28,8";"39,9";"34,8";"31,3";"26,2";"29,8";"25,6";"20,4";"21,7";"18,7";"19,5";"16,6";"13,5";"13,9";"12,9";"12,9";"13,7";"15,5";"17,6";"20,8"
"19-08-2014";"01:32:21";"52,8";"55,9";"52";"47,7";"40,2";"38,1";"34";"30,6";"26,7";"26,5";"26,5";"26";"22,1";"20";"23,1";"23,5";"27,2";"34,3";"32,1";"28,1";"20,4";"26,8";"23,7";"19,1";"19,5";"18,8";"20";"14,7";"12,7";"13,6";"12,1";"12,6";"13,6";"15,4";"17,6";"20,9"
"19-08-2014";"01:32:22";"50";"48,1";"45,5";"37,1";"37,8";"32,3";"26,4";"25,1";"22,4";"22";"17,6";"21,6";"16,2";"19,2";"23";"24,8";"26,1";"35,5";"32";"28,5";"22,2";"28,5";"22,6";"18,4";"20,1";"17,1";"19,2";"15,4";"12,9";"14";"12,8";"12,7";"13,5";"15,5";"17,6";"20,8"
